date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-08-20,sh.601601,33.0500,33.4000,33.6500,32.6200,21862733,726348652.0000,0.347762,2.137596,1.953612
2018-08-21,sh.601601,33.4000,34.3200,34.6000,33.2500,24288542,832014926.0000,0.386348,2.196476,2.754485
2018-08-22,sh.601601,34.4500,33.9500,34.5700,33.8200,12684416,432307945.0000,0.201766,2.172796,-1.078086
2018-08-23,sh.601601,33.9500,33.7100,34.5500,33.2200,14978395,506352645.0000,0.238255,2.157436,-0.706927
2018-08-24,sh.601601,33.3000,34.1200,34.3000,33.0000,16461180,554080791.0000,0.261841,2.183676,1.216256
2018-08-27,sh.601601,34.2500,34.4800,34.5500,33.6200,29889385,1021308997.0000,0.475438,2.249872,1.055102
2018-08-28,sh.601601,34.3000,33.4700,34.3000,33.1100,29346853,985749754.0000,0.466809,2.183968,-2.929229
2018-08-29,sh.601601,33.2900,32.9200,33.4000,32.7500,16134342,532195006.0000,0.256642,2.148080,-1.643272
2018-08-30,sh.601601,32.7100,32.8000,33.3100,32.7100,11621044,383370530.0000,0.184851,2.140250,-0.364517
2018-08-31,sh.601601,32.5900,32.7600,33.2700,32.4700,16637097,548245950.0000,0.264640,2.137640,-0.121954
2018-09-03,sh.601601,32.7600,33.1700,33.2200,32.6200,13090622,430532891.0000,0.208227,2.164393,1.251526
2018-09-04,sh.601601,33.0300,33.6800,33.8200,32.7200,20898018,697200478.0000,0.332416,2.197671,1.537540
2018-09-05,sh.601601,33.4300,32.5000,33.6400,32.5000,17105695,564330908.0000,0.272093,2.120674,-3.503564
2018-09-06,sh.601601,32.4800,32.2400,32.7600,32.0100,9186233,297469886.0000,0.146122,2.103709,-0.799995
2018-09-07,sh.601601,32.3500,32.7100,32.8900,32.2100,12712917,415132385.0000,0.202219,2.134377,1.457808
2018-09-10,sh.601601,32.4200,32.2500,32.7500,32.0000,8194543,264193426.0000,0.130347,2.104361,-1.406295
2018-09-11,sh.601601,32.1900,31.3000,32.5000,31.1500,16000479,505505449.0000,0.254513,2.042372,-2.945739
2018-09-12,sh.601601,31.1200,31.3200,31.5000,31.1200,9386512,293968198.0000,0.149307,2.043677,0.063899
2018-09-13,sh.601601,31.8200,31.9800,32.0400,31.3700,12916135,409316350.0000,0.205452,2.086743,2.107279
2018-09-14,sh.601601,32.2000,32.1300,32.3300,31.8500,8485435,272919639.0000,0.134974,2.096531,0.469048
2018-09-17,sh.601601,31.8100,32.0500,32.3700,31.7500,10986393,352858636.0000,0.174756,2.091311,-0.248994
2018-09-18,sh.601601,31.8200,33.0200,33.1200,31.8200,13808306,450737596.0000,0.219643,2.154605,3.026525
2018-09-19,sh.601601,33.2000,33.3600,33.8000,33.0100,19030475,637547680.0000,0.302710,2.176791,1.029679
2018-09-20,sh.601601,33.4800,32.9800,33.5500,32.8900,11298355,374909975.0000,0.179718,2.151995,-1.139092
2018-09-21,sh.601601,33.2000,34.3000,34.4500,33.1600,31706366,1076804666.0000,0.504340,2.238127,4.002425
2018-09-25,sh.601601,34.3000,34.4000,34.5700,34.0600,14884287,511527029.0000,0.236758,2.244652,0.291552
2018-09-26,sh.601601,34.6000,35.2500,35.7900,34.6000,26348285,933812073.0000,0.419112,2.300116,2.470926
2018-09-27,sh.601601,35.2400,34.9000,35.2400,34.4500,19881109,692557197.0000,0.316241,2.277278,-0.992904
2018-09-28,sh.601601,34.9200,35.5100,36.2000,34.9200,23689613,841731071.0000,0.376821,2.317081,1.747842
2018-10-08,sh.601601,34.2500,34.0900,35.0500,33.9900,19558626,672289144.0000,0.311111,2.224424,-3.998868
2018-10-09,sh.601601,34.0000,33.7900,34.3600,33.3600,14449219,487445936.0000,0.229838,2.204849,-0.880021
2018-10-10,sh.601601,33.8200,33.6100,34.0000,33.1000,14794115,496382882.0000,0.235324,2.193103,-0.532703
2018-10-11,sh.601601,32.2300,32.8000,33.5500,32.0800,21972862,721450465.0000,0.349513,2.140250,-2.410001
2018-10-12,sh.601601,33.1100,33.9100,34.0300,32.6600,18256893,610521763.0000,0.290405,2.212679,3.384148
2018-10-15,sh.601601,33.9000,33.3000,34.0500,32.8800,14012185,467442558.0000,0.222886,2.172875,-1.798881
2018-10-16,sh.601601,33.3200,33.6300,34.3900,33.3200,19038352,644827319.0000,0.302835,2.194408,0.990996
